#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.216607E-01   0.110403E+08   0.110072E+08  -0.354136E+03  -0.569764E+03   0.475548E+07   0.110068E+08   0.110351E+08   0.110068E+08  -0.262941E+00   0.581494E+07   0.581439E+07   0.851955E+01
   0.239177E-01   0.103271E+08   0.102903E+08  -0.303189E+03  -0.437267E+03   0.413405E+07   0.102934E+08   0.103213E+08   0.102934E+08  -0.245900E+00   0.543840E+07   0.543783E+07   0.785133E+01
   0.264099E-01   0.959352E+07   0.955318E+07  -0.235301E+03  -0.333269E+03   0.355377E+07   0.956000E+07   0.958719E+07   0.956000E+07  -0.228378E+00   0.505118E+07   0.505062E+07   0.719016E+01
   0.291617E-01   0.885002E+07   0.880671E+07  -0.151659E+03  -0.252236E+03   0.302035E+07   0.881697E+07   0.884322E+07   0.881697E+07  -0.210628E+00   0.465887E+07   0.465830E+07   0.651509E+01
   0.322002E-01   0.811073E+07   0.806539E+07  -0.158157E+03  -0.189656E+03   0.253900E+07   0.807852E+07   0.810360E+07   0.807852E+07  -0.192988E+00   0.426892E+07   0.426836E+07   0.581045E+01
   0.355554E-01   0.739313E+07   0.734715E+07  -0.938848E+02  -0.141834E+03   0.211356E+07   0.736215E+07   0.738591E+07   0.736215E+07  -0.175874E+00   0.389058E+07   0.389004E+07   0.506771E+01
   0.392602E-01   0.671678E+07   0.667195E+07  -0.713737E+02  -0.105721E+03   0.174594E+07   0.668736E+07   0.670974E+07   0.668736E+07  -0.159754E+00   0.353417E+07   0.353367E+07   0.428940E+01
   0.433510E-01   0.610045E+07   0.605881E+07  -0.800321E+02  -0.787813E+02   0.143560E+07   0.607291E+07   0.609391E+07   0.607291E+07  -0.145076E+00   0.320961E+07   0.320916E+07   0.349287E+01
   0.476861E-01   0.557559E+07   0.553892E+07  -0.583717E+02  -0.595293E+02   0.118761E+07   0.555007E+07   0.556983E+07   0.555007E+07  -0.132585E+00   0.293342E+07   0.293302E+07   0.274167E+01
   0.520211E-01   0.516211E+07   0.513123E+07  -0.454287E+02  -0.463294E+02   0.100051E+07   0.513852E+07   0.515726E+07   0.513852E+07  -0.122754E+00   0.271600E+07   0.271568E+07   0.210671E+01
